,res1,res2,cont1,cont2,s:e,position1,position2,sorted,result,s1,s2,season,episode,prediction,pt_preds,binary_pred,pred_correct,r1,r2
0,3.0,1.0,Bebe Zahara Benet,Nina Flowers,1:1,SAFE,WIN,"[['Bebe Zahara Benet', 'Nina Flowers'], '1:1']",0,0,1,1.0,1.0,0.5000000150000002,0.2032517836300831,1,0,"trueskill.Rating(mu=25.000, sigma=8.333)","trueskill.Rating(mu=25.000, sigma=8.333)"
282,3.0,1.0,Tammie Brown,Nina Flowers,1:1,SAFE,WIN,"[['Nina Flowers', 'Tammie Brown'], '1:1']",0,0,1,1.0,1.0,0.360240012142715,2.829971935921629e-19,0,1,"trueskill.Rating(mu=25.000, sigma=8.333)","trueskill.Rating(mu=29.396, sigma=7.171)"
284,3.0,1.0,Shannel,Nina Flowers,1:1,SAFE,WIN,"[['Nina Flowers', 'Shannel'], '1:1']",0,0,1,1.0,1.0,0.2772734884453306,7.537375601917229e-05,0,1,"trueskill.Rating(mu=25.000, sigma=8.333)","trueskill.Rating(mu=31.957, sigma=6.464)"
298,2.0,1.0,Ongina,Nina Flowers,1:1,HIGH,WIN,"[['Nina Flowers', 'Ongina'], '1:1']",0,0,1,1.0,1.0,0.22354321207514652,0.0007390313106049826,0,1,"trueskill.Rating(mu=25.000, sigma=8.333)","trueskill.Rating(mu=33.693, sigma=5.974)"
309,6.0,1.0,"Victoria ""Porkchop"" Parker",Nina Flowers,1:1,ELIM,WIN,"[['Nina Flowers', 'Victoria ""Porkchop"" Parker'], '1:1']",0,0,1,1.0,1.0,0.18634442171576787,2.4458060070400128e-21,0,1,"trueskill.Rating(mu=25.000, sigma=8.333)","trueskill.Rating(mu=34.974, sigma=5.608)"
318,4.0,1.0,Rebecca Glasscock,Nina Flowers,1:1,LOW,WIN,"[['Nina Flowers', 'Rebecca Glasscock'], '1:1']",0,0,1,1.0,1.0,0.1592568695100632,0.0025300854013595576,0,1,"trueskill.Rating(mu=25.000, sigma=8.333)","trueskill.Rating(mu=35.975, sigma=5.321)"
320,5.0,1.0,Akashia,Nina Flowers,1:1,BTM2,WIN,"[['Akashia', 'Nina Flowers'], '1:1']",0,0,1,1.0,1.0,0.1387479250858128,1.881095594473431e-18,0,1,"trueskill.Rating(mu=25.000, sigma=8.333)","trueskill.Rating(mu=36.788, sigma=5.087)"
321,3.0,1.0,Jade,Nina Flowers,1:1,SAFE,WIN,"[['Jade', 'Nina Flowers'], '1:1']",0,0,1,1.0,1.0,0.12273377172474316,5.072949678369226e-12,0,1,"trueskill.Rating(mu=25.000, sigma=8.333)","trueskill.Rating(mu=37.468, sigma=4.892)"
498,3.0,2.0,Jade,Ongina,1:1,SAFE,HIGH,"[['Jade', 'Ongina'], '1:1']",0,0,1,1.0,1.0,0.5276274674317578,8.556800394332569e-05,1,0,"trueskill.Rating(mu=23.316, sigma=7.477)","trueskill.Rating(mu=22.506, sigma=7.306)"
530,5.0,2.0,Akashia,Ongina,1:1,BTM2,HIGH,"[['Akashia', 'Ongina'], '1:1']",0,0,1,1.0,1.0,0.38298134399355244,1.1007590639542534e-09,0,1,"trueskill.Rating(mu=23.177, sigma=7.441)","trueskill.Rating(mu=26.430, sigma=6.345)"
